original_organism,search_term_used,snomed_code,display_name
Aeromonas punctata,Aeromonas punctata,115036005,Aeromonas caviae
Brevundimonas vesicularis,Brevundimonas vesicularis,113690000,Brevundimonas vesicularis
Kytococcus sedentarius,Kytococcus sedentarius,113775009,Kytococcus sedentarius
Neisseria zoodegmatis,Neisseria zoodegmatis,449121005,Neisseria zoodegmatis
Streptococcus oralis,Streptococcus oralis,19870004,Streptococcus oralis
Yersinia frederiksenii,Yersinia frederiksenii,85159008,Yersinia frederiksenii
Acinetobacter baumannii complex,Acinetobacter baumannii,91288006,Acinetobacter baumannii
Burkholderia cepacia group,Burkholderia cepacia complex,131281002,Burkholderia cepacia complex
Cedecia lapagei,Cedecea lapagei,2345009,Cedecea lapagei
Cronobacter sakazakii group,Cronobacter sakazakii,445562004,Cronobacter sakazakii
Enterococcus spp.,Enterococcus,2785000,Enterococcus
Klebsiella pneumoniae subsp. pneumoniae,Klebsiella pneumoniae,56415008,Klebsiella pneumoniae
Klebsiella spp.,Klebsiella,75032006,Klebsiella
Leuconostoc mesenteroides subsp. cremoris,Leuconostoc mesenteroides,71403009,Leuconostoc mesenteroides
Leuconostoc mesenteroides subsp. dextranicum,Leuconostoc mesenteroides,71403009,Leuconostoc mesenteroides
Methylobacterium spp.,Methylobacterium,38395008,Methylobacterium
Moraxella group,Moraxella,36361003,Moraxella
Morganella morganii subsp. morganii,Morganella morganii,243301005,Morganella morganii
Morganella morganii subsp. sibonii,Morganella morganii,243301005,Morganella morganii
Myroides spp.,Myroides,115127008,Myroides
Pandoraea spp.,Pandoraea,414998001,Pandoraea
Pantoea spp.,Pantoea,115013001,Pantoea
Pseudomonas spp.,Pseudomonas,57032008,Pseudomonas
Salmonella group,Salmonella,27268008,Salmonella
Serratia liquefaciens group,Serratia liquefaciens complex,722258003,Serratia liquefaciens complex
Shigella group,Shigella,77352002,Shigella
Staphylococcus cohnii subsp. cohnii,Staphylococcus cohnii,66872005,Staphylococcus cohnii
Staphylococcus hominis subsp. hominis,Staphylococcus hominis,44827007,Staphylococcus hominis
Streptococcus constellatus subsp. pharyngis,Streptococcus constellatus,76199005,Streptococcus constellatus
Streptococcus infantarius subsp. coli,Streptococcus infantarius,415603007,Streptococcus infantarius
Vagococcus fluviali,Vagococcus fluvialis,116418005,Vagococcus fluvialis
